accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20200115|A|Agilent Technologies Inc.|A|NYSE|5189655|4658821||1470991|3.53||11.39|530834|2020-01-15
20200115|AA|Alcoa Corporation|A|NYSE|7052044|7796438||3902914|1.81||-9.55|-744394|2020-01-15
20200115|AAALF|Aareal Bank AG AKT|S|OTC|86656|82920||0|999.99||4.51|3736|2020-01-15
20200115|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|88255|33215||69325|1.27||165.71|55040|2020-01-15
20200115|AABVF|Aberdeen International Inc Ord|S|OTC|7704|0||4400|1.75||100.00|7704|2020-01-15
20200115|AACAF|AAC Technologies Holdings Inc|S|OTC|11300816|11650680||1185|999.99||-3.00|-349864|2020-01-15
20200115|AACAY|AAC Technologies Holdings Inc|S|OTC|44222|8676||52094|1.00||409.70|35546|2020-01-15
20200115|AACG|ATA Creativity Global American|R|NNM|33623|33653||26560|1.27||-0.09|-30|2020-01-15
20200115|AACH|AAC HLDGS INC Common Stock|S|OTC|1638622|1640175||67932|24.12||-0.09|-1553|2020-01-15
20200115|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2020-01-15
20200115|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|13971|0||10008|1.40||100.00|13971|2020-01-15
20200115|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|11203|2511||34966|1.00||346.16|8692|2020-01-15
20200115|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|34686|132329||426271|1.00||-73.79|-97643|2020-01-15
20200115|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|475002|480492||296156|1.60||-1.14|-5490|2020-01-15
20200115|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|1|1||0|999.99||0.00|0|2020-01-15
20200115|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|557633|288263||28017|19.90||93.45|269370|2020-01-15
20200115|AAL|American Airlines Group Inc. C|R|NNM|42655910|41332800||7276111|5.86||3.20|1323110|2020-01-15
20200115|AALBF|Aalberts Industries NV Ordinar|S|OTC|32129|45227||579|55.49||-28.96|-13098|2020-01-15
20200115|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|9130|7940||630|14.49||14.99|1190|2020-01-15
20200115|AAMC|Altisource Asset Mgmt Corp|B|AMEX|22608|22566||1732|13.05||0.19|42|2020-01-15
20200115|AAME|Atlantic American Corporation|R|NNM|634|1998||3053|1.00||-68.27|-1364|2020-01-15
20200115|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|11|11||33190|1.00||0.00|0|2020-01-15
20200115|AAN|Aaron's, Inc.|A|NYSE|3784616|3666185||498876|7.59||3.23|118431|2020-01-15
