accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20200430|A|Agilent Technologies Inc.|A|NYSE|5258241|4851353||1770084|2.97||8.39|406888|2020-04-30
20200430|AA|Alcoa Corporation|A|NYSE|11633009|10624431||9662345|1.20||9.49|1008578|2020-04-30
20200430|AAALF|Aareal Bank AG AKT|S|OTC|60490|79128||0|999.99||-23.55|-18638|2020-04-30
20200430|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|23316|399660||327221|1.00||-94.17|-376344|2020-04-30
20200430|AABB|Asia Broadband Inc Common Stoc|S|OTC|28000|0||14524218|1.00||100.00|28000|2020-04-30
20200430|AACAF|AAC Technologies Holdings Inc|S|OTC|18349129|18249629||6880|999.99||0.55|99500|2020-04-30
20200430|AACAY|AAC Technologies Holdings Inc|S|OTC|2318|10789||144456|1.00||-78.52|-8471|2020-04-30
20200430|AACG|ATA Creativity Global American|R|NNM|25811|25842||14258|1.81||-0.12|-31|2020-04-30
20200430|AACH|AAC HLDGS INC Common Stock|S|OTC|277264|287565||67732|4.09||-3.58|-10301|2020-04-30
20200430|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2020-04-30
20200430|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|8694|5456||14645|1.00||59.35|3238|2020-04-30
20200430|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|2309|858||6786|1.00||169.11|1451|2020-04-30
20200430|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|135077|111577||739078|1.00||21.06|23500|2020-04-30
20200430|AAGH|America Great Health Common St|S|OTC|4966|0||10671|1.00||100.00|4966|2020-04-30
20200430|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|71144|77061||473493|1.00||-7.68|-5917|2020-04-30
20200430|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|1|1||21|1.00||0.00|0|2020-04-30
20200430|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|38900|53300||0|999.99||-27.02|-14400|2020-04-30
20200430|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|1792083|1226509||16222|110.47||46.11|565574|2020-04-30
20200430|AAIRF|American Aires Inc. Common Sha|S|OTC|2245|2245||14506|1.00||0.00|0|2020-04-30
20200430|AAL|American Airlines Group Inc. C|R|NNM|119303588|81535899||67959231|1.76||46.32|37767689|2020-04-30
20200430|AALBF|Aalberts Industries NV Ordinar|S|OTC|165587|119032||18|999.99||39.11|46555|2020-04-30
20200430|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|20324|17580||12154|1.67||15.61|2744|2020-04-30
20200430|AAMC|Altisource Asset Mgmt Corp|B|AMEX|13099|13214||7844|1.67||-0.87|-115|2020-04-30
