accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20190515|A|Agilent Technologies Inc.|A|NYSE|4636334|3240487||3102246|1.49||43.08|1395847|2019-05-15
20190515|AA|Alcoa Corporation|A|NYSE|6937981|6316497||3544686|1.96||9.84|621484|2019-05-15
20190515|AAALF|Aareal Bank AG AKT|S|OTC|111914|96348||0|999.99||16.16|15566|2019-05-15
20190515|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|12331|29181||25638|1.00||-57.74|-16850|2019-05-15
20190515|AABA|Altaba Inc. Common Stock|R|NNM|27910132|31969040||6532405|4.27||-12.70|-4058908|2019-05-15
20190515|AABB|Asia Broadband Inc Common Stoc|S|OTC|1000|0||343419|1.00||100.00|1000|2019-05-15
20190515|AABVF|Aberdeen International Inc Ord|S|OTC|10800|10800||1478|7.31||0.00|0|2019-05-15
20190515|AAC|AAC Holdings, Inc.|A|NYSE|3911037|3950432||241194|16.22||-1.00|-39395|2019-05-15
20190515|AACAF|AAC Technologies Holdings Inc|S|OTC|11016215|11376613||1275|999.99||-3.17|-360398|2019-05-15
20190515|AACAY|AAC Technologies Holdings Inc|S|OTC|33030|144395||146169|1.00||-77.13|-111365|2019-05-15
20190515|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2019-05-15
20190515|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|3851|1758||18312|1.00||119.06|2093|2019-05-15
20190515|AAGEF|AAG Energy Holdings Ltd Ordina|S|OTC|81000|81000||0|999.99||0.00|0|2019-05-15
20190515|AAGH|America Great Health Common St|S|OTC|916|916||54021|1.00||0.00|0|2019-05-15
20190515|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|251959|138508||288404|1.00||81.91|113451|2019-05-15
20190515|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|15400|8400||0|999.99||83.33|7000|2019-05-15
20190515|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|1841511|750206||52512|35.07||145.47|1091305|2019-05-15
20190515|AAL|American Airlines Group Inc. C|R|NNM|20867364|22148313||5163828|4.04||-5.78|-1280949|2019-05-15
20190515|AALBF|Aalberts Industries NV Ordinar|S|OTC|63199|62170||0|999.99||1.66|1029|2019-05-15
20190515|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|12633|10713||23403|1.00||17.92|1920|2019-05-15
20190515|AAMC|Altisource Asset Mgmt Corp|B|AMEX|26307|28161||3373|7.80||-6.58|-1854|2019-05-15
20190515|AAME|Atlantic American Corporation|R|NNM|2544|2263||1088|2.34||12.42|281|2019-05-15
20190515|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|7743|5869||67063|1.00||31.93|1874|2019-05-15
20190515|AAMTF|Armada Mercantile Ltd Ordinary|S|OTC|500|3076||2991|1.00||-83.75|-2576|2019-05-15
20190515|AAN|Aaron's, Inc.|A|NYSE|2933317|2964137||482430|6.08||-1.04|-30820|2019-05-15
20190515|AANNF|Aroundtown SA Ordinary Shares|S|OTC|3110036|3068173||0|999.99||1.36|41863|2019-05-15
20190515|AAOI|Applied Optoelectronics, Inc.|R|NNM|7951470|7860591||868798|9.15||1.16|90879|2019-05-15
20190515|AAON|AAON, Inc. Common Stock|R|NNM|4266748|4550210||187732|22.73||-6.23|-283462|2019-05-15
20190515|AAP|ADVANCE AUTO PARTS INC|A|NYSE|2867611|2762208||982116|2.92||3.82|105403|2019-05-15
20190515|AAPL|Apple Inc. Common Stock|R|NNM|49550348|52669476||37444374|1.32||-5.92|-3119128|2019-05-15
20190515|AASP|All-American SportPark, Inc. C|S|OTC|1783|3723||3154|1.00||-52.11|-1940|2019-05-15
20190515|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|8185|7301||5055|1.62||12.11|884|2019-05-15
20190515|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|613339|653381||194202|3.16||-6.13|-40042|2019-05-15
20190515|AATAF|Arata Corp Tokyo (Japan)|S|OTC|134|2734||0|999.99||-95.10|-2600|2019-05-15
20190515|AATDF|AA LTD Ordinary Shares (United|S|OTC|582976|430051||10278|56.72||35.56|152925|2019-05-15
20190515|AATRL|AMG Capital  Trust II 5.15% Co|S|OTC|8197|5769||22970|1.00||42.09|2428|2019-05-15
20190515|AAU|Almaden Minerals Ltd.|B|AMEX|1471299|1534261||150510|9.78||-4.10|-62962|2019-05-15
20190515|AAUKF|Anglo American plc Ordinary Sh|S|OTC|10206077|11717292||4076|999.99||-12.90|-1511215|2019-05-15
20190515|AAVVF|Advantage Oil & Gas Ltd Ordina|S|OTC|646120|646874||34066|18.97||-0.12|-754|2019-05-15
20190515|AAWW|Atlas Air Worldwide Holdings N|R|NNM|2054228|2249767||374228|5.49||-8.69|-195539|2019-05-15
20190515|AAXJ|iShares MSCI All Country Asia|R|NNM|665849|3750751||1987115|1.00||-82.25|-3084902|2019-05-15
20190515|AAXN|Axon Enterprise, Inc. Common S|R|NNM|4647811|4270354||813191|5.72||8.84|377457|2019-05-15
20190515|AB|AllianceBernstein Holding, L.P|A|NYSE|574224|726357||264780|2.17||-20.94|-152133|2019-05-15
20190515|ABAHF|Abacus Health Products Inc Com|S|OTC|2045|8715||3107|1.00||-76.53|-6670|2019-05-15
20190515|ABAKF|ABERDEEN ASIA-PACIFIC INCOME O|S|OTC|85|83||13486|1.00||2.41|2|2019-05-15
20190515|ABB|ABB Ltd.|A|NYSE|2740385|3440398||1719248|1.59||-20.35|-700013|2019-05-15
20190515|ABBB|Auburn Bancorp, Inc. Common St|S|OTC|19|19||65|1.00||0.00|0|2019-05-15
20190515|ABBRF|Abraplata Resource Corp Ordina|S|OTC|8124|10850||36986|1.00||-25.12|-2726|2019-05-15
20190515|ABBV|ABBVIE INC.|A|NYSE|21309313|21822012||4728972|4.51||-2.35|-512699|2019-05-15
20190515|ABBY|Abby, Inc  Common Stock|S|OTC|17462|17462||351|49.75||0.00|0|2019-05-15
20190515|ABC|AmerisourceBergen Corp.|A|NYSE|7081809|7192639||1735011|4.08||-1.54|-110830|2019-05-15
