accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20200331|A|Agilent Technologies Inc.|A|NYSE|4767556|5679827||2830677|1.68||-16.06|-912271|2020-03-31
20200331|AA|Alcoa Corporation|A|NYSE|9476203|9978455||8934244|1.06||-5.03|-502252|2020-03-31
20200331|AAALF|Aareal Bank AG AKT|S|OTC|100172|50950||363|275.96||96.61|49222|2020-03-31
20200331|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|429690|28176||290607|1.48||1425.02|401514|2020-03-31
20200331|AABVF|Aberdeen International Inc Ord|S|OTC|1000|0||3855|1.00||100.00|1000|2020-03-31
20200331|AACAF|AAC Technologies Holdings Inc|S|OTC|18080333|15560738||1083|999.99||16.19|2519595|2020-03-31
20200331|AACAY|AAC Technologies Holdings Inc|S|OTC|7161|14325||184905|1.00||-50.01|-7164|2020-03-31
20200331|AACG|ATA Creativity Global American|R|NNM|26523|31605||10267|2.58||-16.08|-5082|2020-03-31
20200331|AACH|AAC HLDGS INC Common Stock|S|OTC|411052|561142||48676|8.44||-26.75|-150090|2020-03-31
20200331|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2020-03-31
20200331|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|4006|4891||8818|1.00||-18.09|-885|2020-03-31
20200331|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|3957|14111||23271|1.00||-71.96|-10154|2020-03-31
20200331|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|43588|22287||532539|1.00||95.58|21301|2020-03-31
20200331|AAGH|America Great Health Common St|S|OTC|11282|11282||49927|1.00||0.00|0|2020-03-31
20200331|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|44417|329176||916395|1.00||-86.51|-284759|2020-03-31
20200331|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|1|451||100|1.00||-99.78|-450|2020-03-31
20200331|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|83500|67800||0|999.99||23.16|15700|2020-03-31
20200331|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|1426393|445185||59424|24.00||220.40|981208|2020-03-31
20200331|AAIRF|American Aires Inc. Common Sha|S|OTC|2245|2245||3315|1.00||0.00|0|2020-03-31
20200331|AAL|American Airlines Group Inc. C|R|NNM|55241201|66355779||65484336|1.00||-16.75|-11114578|2020-03-31
20200331|AALBF|Aalberts Industries NV Ordinar|S|OTC|9136|13176||127|71.94||-30.66|-4040|2020-03-31
20200331|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|5615|7115||1483|3.79||-21.08|-1500|2020-03-31
20200331|AAMC|Altisource Asset Mgmt Corp|B|AMEX|13225|15190||5872|2.25||-12.94|-1965|2020-03-31
20200331|AAME|Atlantic American Corporation|R|NNM|2189|2248||1018|2.15||-2.62|-59|2020-03-31
20200331|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|11|2449||79254|1.00||-99.55|-2438|2020-03-31
20200331|AAMTF|Armada Mercantile Ltd Ordinary|S|OTC|470|0||883|1.00||100.00|470|2020-03-31
20200331|AAN|Aaron's, Inc.|A|NYSE|4479249|4024669||1733862|2.58||11.29|454580|2020-03-31
20200331|AANNF|Aroundtown SA Ordinary Shares|S|OTC|8222992|8833094||3255|999.99||-6.91|-610102|2020-03-31
20200331|AAOI|Applied Optoelectronics, Inc.|R|NNM|7332525|7984856||896642|8.18||-8.17|-652331|2020-03-31
20200331|AAON|AAON, Inc. Common Stock|R|NNM|3565604|4156084||408284|8.73||-14.21|-590480|2020-03-31
20200331|AAP|ADVANCE AUTO PARTS INC|A|NYSE|1533419|2216301||1259583|1.22||-30.81|-682882|2020-03-31
20200331|AAPL|Apple Inc. Common Stock|R|NNM|39059449|38427917||65987361|1.00||1.64|631532|2020-03-31
20200331|AASP|All-American SportPark, Inc. C|S|OTC|25|25||0|999.99||0.00|0|2020-03-31
20200331|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|79970|37823||4394|18.20||111.43|42147|2020-03-31
20200331|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|878924|1091394||574375|1.53||-19.47|-212470|2020-03-31
20200331|AATDF|AA LTD Ordinary Shares (United|S|OTC|258186|1260500||2475|104.32||-79.52|-1002314|2020-03-31
20200331|AATRL|AMG Capital  Trust II 5.15% Co|S|OTC|2651|10058||46446|1.00||-73.64|-7407|2020-03-31
20200331|AAU|Almaden Minerals Ltd.|B|AMEX|1397595|1428747||410127|3.41||-2.18|-31152|2020-03-31
20200331|AAUKF|Anglo American plc Ordinary Sh|S|OTC|4896741|5295595||1013|999.99||-7.53|-398854|2020-03-31
20200331|AAVMY|Abn Amro BK N V Amsterdam Brh|S|OTC|20483|43436||187182|1.00||-52.84|-22953|2020-03-31
20200331|AAVVF|Advantage Oil & Gas Ltd Ordina|S|OTC|3008288|2977180||57235|52.56||1.04|31108|2020-03-31
20200331|AAVXF|Abivax SA Ordinary Shares (Fra|S|OTC|11|0||1067|1.00||100.00|11|2020-03-31
20200331|AAWW|Atlas Air Worldwide Holdings N|R|NNM|2449176|2978906||1025158|2.39||-17.78|-529730|2020-03-31
20200331|AAXJ|iShares MSCI All Country Asia|R|NNM|2428381|2020035||1911796|1.27||20.21|408346|2020-03-31
20200331|AAXN|Axon Enterprise, Inc. Common S|R|NNM|4417202|5363461||876395|5.04||-17.64|-946259|2020-03-31
20200331|AB|AllianceBernstein Holding, L.P|A|NYSE|1437298|781103||1244769|1.15||84.01|656195|2020-03-31
20200331|ABAHF|Abacus Health Products Inc Com|S|OTC|26|100||47020|1.00||-74.00|-74|2020-03-31
20200331|ABAKF|ABERDEEN ASIA-PACIFIC INCOME O|S|OTC|4500|4500||3|999.99||0.00|0|2020-03-31
20200331|ABB|ABB Ltd.|A|NYSE|2457377|2081880||3370087|1.00||18.04|375497|2020-03-31
20200331|ABBRF|Abraplata Resource Corp Ordina|S|OTC|56152|17461||201854|1.00||221.59|38691|2020-03-31
20200331|ABBV|ABBVIE INC.|A|NYSE|84640109|81623824||16915074|5.00||3.70|3016285|2020-03-31
20200331|ABBY|Abby, Inc  Common Stock|S|OTC|50|0||100939|1.00||100.00|50|2020-03-31
20200331|ABC|AmerisourceBergen Corp.|A|NYSE|4019793|4574535||2358104|1.70||-12.13|-554742|2020-03-31
20200331|ABCB|Ameris Bancorp Common Stock|R|NNM|1838098|2132341||648660|2.83||-13.80|-294243|2020-03-31
20200331|ABCE|ABCO Energy, Inc Common Stock|S|OTC|77800|67878||22964238|1.00||14.62|9922|2020-03-31
20200331|ABCFF|Abacus Mining & Exploration Co|S|OTC|15950|3287||35767|1.00||385.24|12663|2020-03-31
20200331|ABCP|AmBase Corporation Common Stoc|S|OTC|12774|11000||19701|1.00||16.13|1774|2020-03-31
20200331|ABCZF|Abcam PLC Ordinary Shares (Uni|S|OTC|170670|179584||1870|91.27||-4.96|-8914|2020-03-31
20200331|ABCZY|Abcam PLC Unsponsored ADR (Uni|S|OTC|1230|2049||7197|1.00||-39.97|-819|2020-03-31
20200331|ABDDF|Ab Dynamics PLC Ordinary Share|S|OTC|1146|0||0|999.99||100.00|1146|2020-03-31
20200331|ABDR|Ambassador Food Services Corpo|S|OTC|5|6||50|1.00||-16.67|-1|2020-03-31
20200331|ABEO|Abeona Therapeutics Inc. Commo|R|SC|4113593|3777711||1597109|2.58||8.89|335882|2020-03-31
20200331|ABEPF|Vision Lithium Inc Ordinary Sh|S|OTC|5322|2800||1989|2.68||90.07|2522|2020-03-31
20200331|ABEQ|Absolute Core Strategy ETF|E|ARCA|19826|22404||12324|1.61||-11.51|-2578|2020-03-31
20200331|ABEV|AMBEV S.A.|A|NYSE|49637705|87961934||34098675|1.46||-43.57|-38324229|2020-03-31
20200331|ABFOF|Abertis Infraestructuras SA Or|S|OTC|73|73||0|999.99||0.00|0|2020-03-31
20200331|ABG|Asbury Automotive Group, Inc.|A|NYSE|2020419|1812566||409662|4.93||11.47|207853|2020-03-31
20200331|ABGOF|Abengoa Sa Ordinary Shares (Sp|S|OTC|221007|1007||1954|113.10||21847.07|220000|2020-03-31
20200331|ABILF|Ability Inc.  Ordinary Shares|S|OTC|11016|5341||9682|1.14||106.25|5675|2020-03-31
20200331|ABIO|ARCA biopharma, Inc. Common St|R|SC|48976|39639||10885|4.50||23.56|9337|2020-03-31
20200331|ABLZF|Abb Ltd Reg Ordinary Shares|S|OTC|5555197|5905439||61111|90.90||-5.93|-350242|2020-03-31
20200331|ABM|ABM Industries, Inc.|A|NYSE|2925502|2841444||819419|3.57||2.96|84058|2020-03-31
20200331|ABMBF|Abcourt Mines Inc Cl-B (F) Ord|S|OTC|19145|5396||85163|1.00||254.80|13749|2020-03-31
20200331|ABMC|American Bio Medica Corp. Comm|S|OTC|300|0||2940032|1.00||100.00|300|2020-03-31
20200331|ABMD|ABIOMED, Inc. Common Stock|R|NNM|3043182|4001954||771075|3.95||-23.96|-958772|2020-03-31
20200331|ABML|American Battery Metals Corpor|S|OTC|14841|31133||6392684|1.00||-52.33|-16292|2020-03-31
20200331|ABMRF|ABN Amro BK NV Depositary Rece|S|OTC|454378|173935||2463|184.48||161.23|280443|2020-03-31
20200331|ABMT|Advanced BioMedical Technologi|S|OTC|255|155||2340|1.00||64.52|100|2020-03-31
20200331|ABNAF|Aben Resources, Ltd. Ordinary|S|OTC|8152|15126||82106|1.00||-46.11|-6974|2020-03-31
20200331|ABR|Arbor Realty Trust, Inc.|A|NYSE|2227875|3046401||4581080|1.00||-26.87|-818526|2020-03-31
20200331|ABRPRA|Arbor Realty Trust, Inc 8.250%|A|NYSE|207|8332||19388|1.00||-97.52|-8125|2020-03-31
20200331|ABRPRB|Arbor Realty Trust, Inc. 7.75%|A|NYSE|14780|1330||17662|1.00||1011.28|13450|2020-03-31
20200331|ABRPRC|Arbor Realty Trust, Inc. 8.50%|A|NYSE|1587|5612||10269|1.00||-71.72|-4025|2020-03-31
20200331|ABSSF|Airboss Of America Corp New Or|S|OTC|25020|8395||3422|7.31||198.03|16625|2020-03-31
20200331|ABT|Abbott Laboratories|A|NYSE|17772257|23053505||14546821|1.22||-22.91|-5281248|2020-03-31
20200331|ABTI|Alterola Biotech, Inc. Common|S|OTC|801|801||350|2.29||0.00|0|2020-03-31
20200331|ABTO|AB&T Financial Corporation (NC|S|OTC|100|100||3438|1.00||0.00|0|2020-03-31
20200331|ABTX|Allegiance Bancshares, Inc. Co|R|NNM|939306|1218338||119582|7.85||-22.90|-279032|2020-03-31
20200331|ABTZY|Aboitiz Equity Ventures Inc. U|S|OTC|994|0||2486|1.00||100.00|994|2020-03-31
20200331|ABUS|Arbutus Biopharma Corporation|R|NNM|527714|564780||1312736|1.00||-6.56|-37066|2020-03-31
20200331|ABVC|American BriVision (Holding) C|S|OTC|64|1505||574|1.00||-95.75|-1441|2020-03-31
20200331|ABWN|Airborne Wireless Network Comm|S|OTC|264|264||4713220|1.00||0.00|0|2020-03-31
20200331|ABZPF|Aboitiz Power Corp. Ordinary S|S|OTC|2028|0||506|4.01||100.00|2028|2020-03-31
20200331|AC|Associated Capital Group, Inc.|A|NYSE|215003|212303||15521|13.85||1.27|2700|2020-03-31
20200331|ACA|Arcosa, Inc. Common Stock|A|NYSE|804853|975888||408199|1.97||-17.53|-171035|2020-03-31
20200331|ACAD|ACADIA Pharmaceuticals Inc. Co|R|NNM|11481401|12116961||1407695|8.16||-5.25|-635560|2020-03-31
20200331|ACAM|Acamar Partners Acquisition Co|R|SC|1920|1885||297523|1.00||1.86|35|2020-03-31
20200331|ACAMU|Acamar Partners Acquisition Co|R|SC|16729|0||27486|1.00||100.00|16729|2020-03-31
20200331|ACAMW|Acamar Partners Acquisition Co|R|SC|13812|13000||30365|1.00||6.25|812|2020-03-31
20200331|ACAN|Americann, Inc. Common Stock|S|OTC|26000|22818||60952|1.00||13.95|3182|2020-03-31
20200331|ACAVF|ACE Aviation Holdings Inc Comm|S|OTC|6|6||1667|1.00||0.00|0|2020-03-31
20200331|ACAZF|Acadian Timber Corporation Ord|S|OTC|53950|64724||12833|4.20||-16.65|-10774|2020-03-31
20200331|ACB|Aurora Cannabis Inc. Common Sh|A|NYSE|192213680|192564062||43401302|4.43||-0.18|-350382|2020-03-31
20200331|ACBCQ|Albina Community Bancorp (OR)|S|OTC|696|696||1675|1.00||0.00|0|2020-03-31
20200331|ACBD|Annabidiol Corp. Common Stock|S|OTC|15|15||834|1.00||0.00|0|2020-03-31
20200331|ACBI|Atlantic Capital Bancshares, I|R|NNM|219435|349612||100203|2.19||-37.23|-130177|2020-03-31
20200331|ACC|American Campus Communities, I|A|NYSE|1962116|2163033||2180564|1.00||-9.29|-200917|2020-03-31
20200331|ACCA|Acacia Diversified Holdings, I|S|OTC|5145|15220||187772|1.00||-66.20|-10075|2020-03-31
20200331|ACCMF|AAC MICROTEC AB  Share AK (Swe|S|OTC|551|500||9|61.22||10.20|51|2020-03-31
20200331|ACCO|Acco Brands Corporation|A|NYSE|3885223|4012617||883486|4.40||-3.17|-127394|2020-03-31
20200331|ACCR|Access-Power, Inc. (Florida) C|S|OTC|15100|0||719646|1.00||100.00|15100|2020-03-31
20200331|ACCYY|Accor S A American Depositary|S|OTC|423|170891||498044|1.00||-99.75|-170468|2020-03-31
20200331|ACDSF|Ascendas Real Estate Investmen|S|OTC|20063901|29365009||6405|999.99||-31.67|-9301108|2020-03-31
20200331|ACDVF|Air Canada Inc Vtg & Var Vtg S|S|OTC|2339962|2988044||224147|10.44||-21.69|-648082|2020-03-31
20200331|ACEL|Accel Entertainment, Inc.|A|NYSE|961211|970897||243427|3.95||-1.00|-9686|2020-03-31
20200331|ACELWS|Accel Entertainment, Inc. Warr|A|NYSE|9564|5621||29180|1.00||70.15|3943|2020-03-31
20200331|ACER|Acer Therapeutics Inc. Common|R|SC|428478|499021||130235|3.29||-14.14|-70543|2020-03-31
20200331|ACES|ALPS Clean Energy ETF|H|BZX|20571|44348||63250|1.00||-53.61|-23777|2020-03-31
20200331|ACFL|AMC Financial Holdings, Inc. C|S|OTC|166|166||1567|1.00||0.00|0|2020-03-31
20200331|ACFN|Acorn Energy, Inc.|S|OTC|6995|1847||87494|1.00||278.72|5148|2020-03-31
20200331|ACGBF|Agricultural Bank of China Ord|S|OTC|9140000|9145000||38977|234.50||-0.05|-5000|2020-03-31
20200331|ACGBY|Agricultural Bank of China Uns|S|OTC|113874|45536||125141|1.00||150.07|68338|2020-03-31
20200331|ACGL|Arch Capital Group Ltd. Common|R|NNM|2258325|2512941||3625706|1.00||-10.13|-254616|2020-03-31
20200331|ACGLO|Arch Capital Group Ltd. Deposi|R|NNM|7083|9672||65306|1.00||-26.77|-2589|2020-03-31
20200331|ACGLP|Arch Capital Group Ltd. Deposi|R|NNM|26062|61410||73350|1.00||-57.56|-35348|2020-03-31
20200331|ACGPF|Accell Group NV Heerenveen Ord|S|OTC|923|1225||353|2.61||-24.65|-302|2020-03-31
20200331|ACGYF|Subsea 7 SA Ordinary Shares (L|S|OTC|1492007|2828578||8260|180.63||-47.25|-1336571|2020-03-31
20200331|ACH|Alum Corp of China Limited|A|NYSE|114054|58879||81788|1.39||93.71|55175|2020-03-31
20200331|ACHC|Acadia Healthcare Company, Inc|R|NNM|10397679|11735915||1820392|5.71||-11.40|-1338236|2020-03-31
20200331|ACHFF|ARch Biopartners Inc. Ordinary|S|OTC|1793|0||14737|1.00||100.00|1793|2020-03-31
20200331|ACHV|Achieve Life Sciences, Inc. Co|R|SC|41815|38283||938986|1.00||9.23|3532|2020-03-31
20200331|ACIA|Acacia Communications, Inc. Co|R|NNM|2734245|3124274||856892|3.19||-12.48|-390029|2020-03-31
20200331|ACIO|Aptus Collared Income Opportun|H|BZX|38992|30745||49258|1.00||26.82|8247|2020-03-31
20200331|ACIU|AC Immune SA Common Stock|R|NNM|540123|386903||169866|3.18||39.60|153220|2020-03-31
20200331|ACIW|ACI Worldwide, Inc. Common Sto|R|NNM|5803301|6480560||1297170|4.47||-10.45|-677259|2020-03-31
20200331|ACKAY|Arcelik A S Unsponsored ADR (T|S|OTC|3|0||606|1.00||100.00|3|2020-03-31
20200331|ACKDF|Auckland International Airport|S|OTC|340089|431734||3869|87.90||-21.23|-91645|2020-03-31
20200331|ACKRF|American Creek Resources Ltd C|S|OTC|86429|103245||168737|1.00||-16.29|-16816|2020-03-31
20200331|ACLLF|Atco Ltd  Cl I Nv Cda Ordinary|S|OTC|90258|121271||6797|13.28||-25.57|-31013|2020-03-31
20200331|ACLS|Axcelis Technologies, Inc. Com|R|NNM|1132318|1451882||345869|3.27||-22.01|-319564|2020-03-31
20200331|ACM|Aecom|A|NYSE|3970548|5312592||3030238|1.31||-25.26|-1342044|2020-03-31
20200331|ACMDY|Atlas Consolidated Mining & De|S|OTC|100|0||17|5.88||100.00|100|2020-03-31
20200331|ACMLF|Ascom Holdings A G Bearer Shs|S|OTC|17829|13911||2562|6.96||28.16|3918|2020-03-31
20200331|ACMR|ACM Research, Inc. Class A Com|R|NNM|1190638|1031074||660985|1.80||15.48|159564|2020-03-31
