accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20230630|A|Agilent Technologies Inc.|A|NYSE|4602548|4155261||2238152|2.06||10.76|447287|2023-06-30
20230630|AA|Alcoa Corporation|A|NYSE|7877660|6733808||5041030|1.56||16.99|1143852|2023-06-30
20230630|AAA|AXS First Priority CLO Bond ET|E|ARCA|1442|574||348|4.14||151.22|868|2023-06-30
20230630|AAALF|Aareal Bank AG AKT|S|OTC|115|115||0|999.99||0.00|0|2023-06-30
20230630|AAAU|Goldman Sachs Physical Gold ET|H|BZX|46473|209107||1221940|1.00||-77.78|-162634|2023-06-30
20230630|AABB|Asia Broadband Inc Common Stoc|S|OTC|221869|174733||9035849|1.00||26.98|47136|2023-06-30
20230630|AABVF|Aberdeen International Inc Ord|S|OTC|574|51||2260|1.00||1025.49|523|2023-06-30
20230630|AAC|Ares Acquisition Corporation|A|NYSE|283607|28949||1408425|1.00||879.68|254658|2023-06-30
20230630|AACAF|AAC Technologies Holdings Inc|S|OTC|594515|373515||0|999.99||59.17|221000|2023-06-30
20230630|AACG|ATA Creativity Global American|R|NNM|6319|5588||6707|1.00||13.08|731|2023-06-30
20230630|AACI|Armada Acquisition Corp. I Com|R|NNM|11419|1295||54042|1.00||781.78|10124|2023-06-30
20230630|AACIU|Armada Acquisition Corp. I Uni|R|NNM|156|163||100|1.56||-4.29|-7|2023-06-30
20230630|AACIW|Armada Acquisition Corp. I War|R|NNM|2011|1931||4897|1.00||4.14|80|2023-06-30
20230630|AACT|Ares Acquisition Corporation I|A|NYSE|1572|101578||190387|1.00||-98.45|-100006|2023-06-30
20230630|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|707|0||49581|1.00||100.00|707|2023-06-30
20230630|AACTWS|Ares Acquisition Corporation I|A|NYSE|100|263986||126127|1.00||-99.96|-263886|2023-06-30
20230630|AACU|Ares Acquisition Corporation U|A|NYSE|1584|0||3036|1.00||100.00|1584|2023-06-30
20230630|AACWS|Ares Acquisition Corporation R|A|NYSE|7331|8454||24135|1.00||-13.28|-1123|2023-06-30
20230630|AADI|Aadi Bioscience, Inc. Common S|R|SC|1043247|1210116||212963|4.90||-13.79|-166869|2023-06-30
20230630|AADR|AdvisorShares Dorsey Wright AD|R|NNM|3654|31720||1363|2.68||-88.48|-28066|2023-06-30
20230630|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|700|11242||57105|1.00||-93.77|-10542|2023-06-30
20230630|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|766|20110||92539|1.00||-96.19|-19344|2023-06-30
20230630|AAGH|America Great Health Common St|S|OTC|2989|2989||344260|1.00||0.00|0|2023-06-30
20230630|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|114845|54847||516490|1.00||109.39|59998|2023-06-30
20230630|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|86|2116||506|1.00||-95.94|-2030|2023-06-30
20230630|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|1600|1600||0|999.99||0.00|0|2023-06-30
20230630|AAIC|Arlington Asset Investment Cor|A|NYSE|23818|41799||427730|1.00||-43.02|-17981|2023-06-30
20230630|AAICPRC|Arlington Asset Investment Cor|A|NYSE|1124|1786||1972|1.00||-37.07|-662|2023-06-30
20230630|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|1942475|2004081||47978|40.49||-3.07|-61606|2023-06-30
20230630|AAIN|Arlington Asset Investment Cor|A|NYSE|71|48||1436|1.00||47.92|23|2023-06-30
20230630|AAL|American Airlines Group Inc. C|R|NNM|67911978|63593527||22275357|3.05||6.79|4318451|2023-06-30
20230630|AALBF|Aalberts Industries NV Ordinar|S|OTC|19382|28270||49|395.55||-31.44|-8888|2023-06-30
20230630|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|53999|53999||0|999.99||0.00|0|2023-06-30
20230630|AAMC|Altisource Asset Mgmt Corp|B|AMEX|23021|24275||15483|1.49||-5.17|-1254|2023-06-30
20230630|AAME|Atlantic American Corporation|R|NNM|14872|56520||6922|2.15||-73.69|-41648|2023-06-30
20230630|AAMPRA|Apollo Asset Management, Inc.|A|NYSE|22667|10714||58582|1.00||111.56|11953|2023-06-30
20230630|AAMPRB|Apollo Asset Management, Inc.|A|NYSE|3463|8454||40513|1.00||-59.04|-4991|2023-06-30
20230630|AAMTF|Armada Mercantile Ltd Ordinary|S|OTC|4000|4000||1700|2.35||0.00|0|2023-06-30
20230630|AAN|The Aaron's Company, Inc.|A|NYSE|1078876|1020901||391718|2.75||5.68|57975|2023-06-30
20230630|AANNF|Aroundtown SA Ordinary Shares|S|OTC|5909967|6921146||15826|373.43||-14.61|-1011179|2023-06-30
20230630|AAOI|Applied Optoelectronics, Inc.|R|NNM|5119390|3555593||4181290|1.22||43.98|1563797|2023-06-30
20230630|AAON|AAON, Inc. Common Stock|R|NNM|1640938|1727257||327123|5.02||-5.00|-86319|2023-06-30
20230630|AAP|ADVANCE AUTO PARTS INC|A|NYSE|3731221|3627458||2842829|1.31||2.86|103763|2023-06-30
20230630|AAPB|GraniteShares ETF Trust Granit|R|NNM|4985|8009||14496|1.00||-37.76|-3024|2023-06-30
20230630|AAPD|Direxion Shares ETF Trust Dire|R|NNM|47214|61690||209125|1.00||-23.47|-14476|2023-06-30
20230630|AAPL|Apple Inc. Common Stock|R|NNM|117870227|121254451||58589395|2.01||-2.79|-3384224|2023-06-30
20230630|AAPT|All American Pet Company, Inc.|S|OTC|24000|24000||265834|1.00||0.00|0|2023-06-30
20230630|AAPU|Direxion Shares ETF Trust Dire|R|NNM|40148|72108||108048|1.00||-44.32|-31960|2023-06-30
20230630|AARTY|AIRTEL AFRICA PLC American Dep|S|OTC|33|20||38|1.00||65.00|13|2023-06-30
20230630|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|17860|13974||9606|1.86||27.81|3886|2023-06-30
20230630|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|1469008|1687304||507462|2.89||-12.94|-218296|2023-06-30
20230630|AATC|Autoscope Technologies Corpora|S|OTC|1370|966||12478|1.00||41.82|404|2023-06-30
