accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20220915|A|Agilent Technologies Inc.|A|NYSE|3031218|2705705||1600809|1.89||12.03|325513|2022-09-15
20220915|AA|Alcoa Corporation|A|NYSE|9651790|10927858||6613511|1.46||-11.68|-1276068|2022-09-15
20220915|AAA|AAF First Priority CLO Bond ET|E|ARCA|6391|28456||81|78.90||-77.54|-22065|2022-09-15
20220915|AAALF|Aareal Bank AG AKT|S|OTC|1399|1354||0|999.99||3.32|45|2022-09-15
20220915|AAAU|Goldman Sachs Physical Gold ET|H|BZX|380776|103279||1987239|1.00||268.69|277497|2022-09-15
20220915|AABB|Asia Broadband Inc Common Stoc|S|OTC|8310930|8616142||31577173|1.00||-3.54|-305212|2022-09-15
20220915|AABVF|Aberdeen International Inc Ord|S|OTC|301|301||5062|1.00||0.00|0|2022-09-15
20220915|AAC|Ares Acquisition Corporation|A|NYSE|1288287|635562||357947|3.60||102.70|652725|2022-09-15
20220915|AACAF|AAC Technologies Holdings Inc|S|OTC|3845434|3782653||20104|191.28||1.66|62781|2022-09-15
20220915|AACAY|AAC Technologies Holdings Inc|S|OTC|488201|94029||658698|1.00||419.20|394172|2022-09-15
20220915|AACG|ATA Creativity Global American|R|NNM|68644|20912||46922|1.46||228.25|47732|2022-09-15
20220915|AACI|Armada Acquisition Corp. I Com|R|NNM|2575|2575||435|5.92||0.00|0|2022-09-15
20220915|AACIU|Armada Acquisition Corp. I Uni|R|NNM|446|446||0|999.99||0.00|0|2022-09-15
20220915|AACIW|Armada Acquisition Corp. I War|R|NNM|42948|39313||3172|13.54||9.25|3635|2022-09-15
20220915|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|130422|154237||22362|5.83||-15.44|-23815|2022-09-15
20220915|AACU|Ares Acquisition Corporation U|A|NYSE|19339|15367||6087|3.18||25.85|3972|2022-09-15
20220915|AACWS|Ares Acquisition Corporation R|A|NYSE|1107|2296||33770|1.00||-51.79|-1189|2022-09-15
20220915|AADI|Aadi Bioscience, Inc. Common S|R|SC|735836|696840||131089|5.61||5.60|38996|2022-09-15
20220915|AADR|AdvisorShares Dorsey Wright AD|R|NNM|15639|3103||897|17.43||404.00|12536|2022-09-15
20220915|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|100|102||62273|1.00||-1.96|-2|2022-09-15
20220915|AAGEF|AAG ENERGY HLDGS LTD Ordinary|S|OTC|147000|116000||0|999.99||26.72|31000|2022-09-15
20220915|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|77004|50868||191627|1.00||51.38|26136|2022-09-15
20220915|AAGH|America Great Health Common St|S|OTC|95|95||423362|1.00||0.00|0|2022-09-15
20220915|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|72374|52351||887448|1.00||38.25|20023|2022-09-15
20220915|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|1219|1019||40|30.48||19.63|200|2022-09-15
20220915|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|2369|16500||0|999.99||-85.64|-14131|2022-09-15
20220915|AAIC|Arlington Asset Investment Cor|A|NYSE|201256|205159||41164|4.89||-1.90|-3903|2022-09-15
20220915|AAICPRC|Arlington Asset Investment Cor|A|NYSE|53|959||1521|1.00||-94.47|-906|2022-09-15
20220915|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|1947951|2119494||86713|22.46||-8.09|-171543|2022-09-15
20220915|AAIN|Arlington Asset Investment Cor|A|NYSE|508|829||220|2.31||-38.72|-321|2022-09-15
20220915|AAIRF|American Aires Inc. Common Sha|S|OTC|18861|14861||3440|5.48||26.92|4000|2022-09-15
20220915|AAL|American Airlines Group Inc. C|R|NNM|80135453|77580601||28473285|2.81||3.29|2554852|2022-09-15
20220915|AALBF|Aalberts Industries NV Ordinar|S|OTC|17870|11531||129|138.53||54.97|6339|2022-09-15
20220915|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|53999|53999||0|999.99||0.00|0|2022-09-15
20220915|AAMC|Altisource Asset Mgmt Corp|B|AMEX|4723|5422||6794|1.00||-12.89|-699|2022-09-15
20220915|AAME|Atlantic American Corporation|R|NNM|19847|50295||4683|4.24||-60.54|-30448|2022-09-15
20220915|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|1709|15764||55689|1.00||-89.16|-14055|2022-09-15
20220915|AAMPRA|Apollo Asset Management, Inc.|A|NYSE|12336|56419||14556|1.00||-78.14|-44083|2022-09-15
20220915|AAMPRB|Apollo Asset Management, Inc.|A|NYSE|10502|8989||13173|1.00||16.83|1513|2022-09-15
20220915|AAN|The Aaron's Company, Inc.|A|NYSE|1560373|1848852||365387|4.27||-15.60|-288479|2022-09-15
20220915|AANNF|Aroundtown SA Ordinary Shares|S|OTC|4517690|3305259||52559|85.95||36.68|1212431|2022-09-15
20220915|AAOI|Applied Optoelectronics, Inc.|R|NNM|4063968|4072263||395011|10.29||-0.20|-8295|2022-09-15
20220915|AAON|AAON, Inc. Common Stock|R|NNM|956928|1006115||147896|6.47||-4.89|-49187|2022-09-15
20220915|AAP|ADVANCE AUTO PARTS INC|A|NYSE|3259761|3020187||791678|4.12||7.93|239574|2022-09-15
20220915|AAPB|GraniteShares GraniteShares 1.|R|NNM|7223|1802||5229|1.38||300.83|5421|2022-09-15
20220915|AAPD|Direxion Shares ETF Trust Dire|R|NNM|44187|23275||51921|1.00||89.85|20912|2022-09-15
20220915|AAPL|Apple Inc. Common Stock|R|NNM|116076947|113066596||87048374|1.33||2.66|3010351|2022-09-15
20220915|AAPU|Direxion Shares ETF Trust Dire|R|NNM|46261|12107||41253|1.12||282.10|34154|2022-09-15
20220915|AAQC|Accelerate Acquisition Corp.|A|NYSE|547932|252281||16153|33.92||117.19|295651|2022-09-15
20220915|AAQCU|Accelerate Acquisition Corp. U|A|NYSE|1315|1454||12414|1.00||-9.56|-139|2022-09-15
20220915|AAQCWS|Accelerate Acquisition Corp. W|A|NYSE|24687|25475||5363|4.60||-3.09|-788|2022-09-15
20220915|AASP|Global Acquisitions Corporatio|S|OTC|50|50||200|1.00||0.00|0|2022-09-15
20220915|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|455126|540292||8767|51.91||-15.76|-85166|2022-09-15
20220915|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|730047|792604||230918|3.16||-7.89|-62557|2022-09-15
20220915|AATC|Autoscope Technologies Corpora|R|SC|7029|11085||10452|1.00||-36.59|-4056|2022-09-15
20220915|AATGF|ATI Airtest Technologies Inc O|S|OTC|4129|0||8000|1.00||100.00|4129|2022-09-15
