accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20190430|A|Agilent Technologies Inc.|A|NYSE|3240487|3687978||2634786|1.23||-12.13|-447491|2019-04-30
20190430|AA|Alcoa Corporation|A|NYSE|6316497|6421435||4398330|1.44||-1.63|-104938|2019-04-30
20190430|AAALF|Aareal Bank AG AKT|S|OTC|96348|176180||280|344.10||-45.31|-79832|2019-04-30
20190430|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|29181|12079||14224|2.05||141.58|17102|2019-04-30
20190430|AABA|Altaba Inc. Common Stock|R|NNM|31969040|32367829||4269801|7.49||-1.23|-398789|2019-04-30
20190430|AABVF|Aberdeen International Inc Ord|S|OTC|10800|12800||2383|4.53||-15.63|-2000|2019-04-30
20190430|AAC|AAC Holdings, Inc.|A|NYSE|3950432|3129968||246705|16.01||26.21|820464|2019-04-30
20190430|AACAF|AAC Technologies Holdings Inc|S|OTC|11376613|11763160||906|999.99||-3.29|-386547|2019-04-30
20190430|AACAY|AAC Technologies Holdings Inc|S|OTC|144395|9629||567331|1.00||1399.58|134766|2019-04-30
20190430|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2019-04-30
20190430|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|4500|4500||8057|1.00||0.00|0|2019-04-30
20190430|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|1758|3021||13532|1.00||-41.81|-1263|2019-04-30
20190430|AAGEF|AAG Energy Holdings Ltd Ordina|S|OTC|81000|81000||0|999.99||0.00|0|2019-04-30
20190430|AAGH|America Great Health Common St|S|OTC|916|16680||42993|1.00||-94.51|-15764|2019-04-30
20190430|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|138508|99188||525780|1.00||39.64|39320|2019-04-30
20190430|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|100|100||340|1.00||0.00|0|2019-04-30
20190430|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|8400|26000||0|999.99||-67.69|-17600|2019-04-30
20190430|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|750206|679778||57744|12.99||10.36|70428|2019-04-30
20190430|AAL|American Airlines Group Inc. C|R|NNM|22148313|23003563||4951703|4.47||-3.72|-855250|2019-04-30
