accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20220228|A|Agilent Technologies Inc.|A|NYSE|4417007|4886596||3255515|1.36||-9.61|-469589|2022-02-28
20220228|AA|Alcoa Corporation|A|NYSE|9342675|9860636||7826816|1.19||-5.25|-517961|2022-02-28
20220228|AAA|AAF First Priority CLO Bond ET|E|ARCA|15811|15417||1525|10.37||2.56|394|2022-02-28
20220228|AAALF|Aareal Bank AG AKT|S|OTC|2799|1007743||0|999.99||-99.72|-1004944|2022-02-28
20220228|AAAU|Goldman Sachs Physical Gold ET|H|BZX|385828|115910||691889|1.00||232.87|269918|2022-02-28
20220228|AABB|Asia Broadband Inc Common Stoc|S|OTC|8142077|8006368||20178978|1.00||1.70|135709|2022-02-28
20220228|AABVF|Aberdeen International Inc Ord|S|OTC|551|7156||20175|1.00||-92.30|-6605|2022-02-28
20220228|AAC|Ares Acquisition Corporation|A|NYSE|75709|68619||446182|1.00||10.33|7090|2022-02-28
20220228|AACAF|AAC Technologies Holdings Inc|S|OTC|1580003|1429546||2|999.99||10.52|150457|2022-02-28
20220228|AACG|ATA Creativity Global American|R|NNM|19241|23490||28277|1.00||-18.09|-4249|2022-02-28
20220228|AACI|Armada Acquisition Corp. I Com|R|NNM|188023|187274||7105|26.46||0.40|749|2022-02-28
20220228|AACIU|Armada Acquisition Corp. I Uni|R|NNM|446|446||105|4.25||0.00|0|2022-02-28
20220228|AACIW|Armada Acquisition Corp. I War|R|NNM|5436|4923||37513|1.00||10.42|513|2022-02-28
20220228|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|2739|116||43526|1.00||2261.21|2623|2022-02-28
20220228|AACU|Ares Acquisition Corporation U|A|NYSE|100|100||13164|1.00||0.00|0|2022-02-28
