accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20230531|A|Agilent Technologies Inc.|A|NYSE|4339039|5217731||2643353|1.64|R|-16.84|-878692|2023-05-31
20230531|AA|Alcoa Corporation|A|NYSE|6299886|8131497||4256360|1.48|R|-22.52|-1831611|2023-05-31
20230531|AAA|AXS First Priority CLO Bond ET|E|ARCA|1128|4552||165|6.84||-75.22|-3424|2023-05-31
20230531|AAALF|Aareal Bank AG AKT|S|OTC|17|656||0|999.99||-97.41|-639|2023-05-31
20230531|AAAU|Goldman Sachs Physical Gold ET|H|BZX|176597|243681||1205914|1.00||-27.53|-67084|2023-05-31
20230531|AABB|Asia Broadband Inc Common Stoc|S|OTC|160394|382705||24394714|1.00||-58.09|-222311|2023-05-31
20230531|AABVF|Aberdeen International Inc Ord|S|OTC|351|51||5502|1.00||588.24|300|2023-05-31
20230531|AAC|Ares Acquisition Corporation|A|NYSE|10632|11023||348740|1.00||-3.55|-391|2023-05-31
20230531|AACAF|AAC Technologies Holdings Inc|S|OTC|659817|894817||1|999.99||-26.26|-235000|2023-05-31
20230531|AACG|ATA Creativity Global American|R|NNM|1638|2144||18943|1.00||-23.60|-506|2023-05-31
20230531|AACI|Armada Acquisition Corp. I Com|R|NNM|1401|1401||12512|1.00||0.00|0|2023-05-31
20230531|AACIW|Armada Acquisition Corp. I War|R|NNM|1025|1025||558|1.84||0.00|0|2023-05-31
20230531|AACTU|Ares Acquisition Corporation I|A|NYSE|452|2697||266175|1.00||-83.24|-2245|2023-05-31
20230531|AACWS|Ares Acquisition Corporation R|A|NYSE|5770|7071||9124|1.00||-18.40|-1301|2023-05-31
20230531|AADI|Aadi Bioscience, Inc. Common S|R|SC|1086735|1288007||92273|11.78||-15.63|-201272|2023-05-31
20230531|AADR|AdvisorShares Dorsey Wright AD|R|NNM|42156|42196||1099|38.36||-0.09|-40|2023-05-31
20230531|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|11042|592||34241|1.00||1765.20|10450|2023-05-31
