accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20180531|A|Agilent Technologies Inc.|A|NYSE|4484922|4181963||3407414|1.32||7.24|302959|2018-05-31
20180531|AA|Alcoa Corporation|A|NYSE|4061884|6727790||2978639|1.36||-39.63|-2665906|2018-05-31
20180531|AAALF|Aareal Bank AG AKT|S|OTC|113683|101595||0|999.99||11.90|12088|2018-05-31
20180531|AABA|Altaba Inc. Common Stock|R|NNM|26714465|26957021||3297490|8.10||-0.90|-242556|2018-05-31
20180531|AABVF|Aberdeen International Inc Ord|S|OTC|118|2000||6437|1.00||-94.10|-1882|2018-05-31
20180531|AAC|AAC Holdings, Inc.|A|NYSE|2042323|2168006||141568|14.43||-5.80|-125683|2018-05-31
20180531|AACAF|AAC Technologies Holdings Inc|S|OTC|2545351|1272317||4807|529.51||100.06|1273034|2018-05-31
20180531|AACAY|AAC Technologies Holdings Inc|S|OTC|25893|8924||212124|1.00||190.15|16969|2018-05-31
20180531|AACEY|Asia Cement (China) Holdings C|S|OTC|300|300||0|999.99||0.00|0|2018-05-31
20180531|AACS|American Commerce Solutions, I|S|OTC|1724|41||332140|1.00||4104.88|1683|2018-05-31
20180531|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|93|93||0|999.99||0.00|0|2018-05-31
20180531|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|6038|2235||19558|1.00||170.16|3803|2018-05-31
20180531|AAGC|All American Gold Corp. Common|S|OTC|16439|0||203800234|1.00||100.00|16439|2018-05-31
20180531|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|107865|98512||398192|1.00||9.49|9353|2018-05-31
20180531|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|22649989|21757292||43075|525.83||4.10|892697|2018-05-31
20180531|AAL|American Airlines Group Inc. C|R|NNM|28629550|26604344||5594975|5.12||7.61|2025206|2018-05-31
20180531|AALBF|Aalberts Industries NV Ordinar|S|OTC|17174|12559||0|999.99||36.75|4615|2018-05-31
20180531|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|100|150||7833|1.00||-33.33|-50|2018-05-31
20180531|AAMC|Altisource Asset Mgmt Corp|B|AMEX|42680|41232||862|49.51||3.51|1448|2018-05-31
20180531|AAME|Atlantic American Corporation|R|NNM|16137|14434||3034|5.32||11.80|1703|2018-05-31
20180531|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|9707|0||14858|1.00||100.00|9707|2018-05-31
20180531|AAN|Aaron's, Inc.|A|NYSE|3787074|3744118||529654|7.15||1.15|42956|2018-05-31
