accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20210415|A|Agilent Technologies Inc.|A|NYSE|2294902|2670587||1153715|1.99||-14.07|-375685|2021-04-15
20210415|AA|Alcoa Corporation|A|NYSE|9508674|9845923||4593872|2.07||-3.43|-337249|2021-04-15
20210415|AAA|AAF First Priority CLO Bond ET|E|ARCA|6312|6348||1066|5.92||-0.57|-36|2021-04-15
20210415|AAALF|Aareal Bank AG AKT|S|OTC|264536|257986||280|944.77||2.54|6550|2021-04-15
20210415|AAAU|Goldman Sachs Physical Gold ET|E|ARCA|18258|68370||404933|1.00||-73.30|-50112|2021-04-15
20210415|AABB|Asia Broadband Inc Common Stoc|S|OTC|35477|203186||54736295|1.00||-82.54|-167709|2021-04-15
20210415|AABVF|Aberdeen International Inc Ord|S|OTC|3945|3662||11203|1.00||7.73|283|2021-04-15
20210415|AAC|Ares Acquisition Corporation|A|NYSE|127667|171642||153642|1.00||-25.62|-43975|2021-04-15
20210415|AACAF|AAC Technologies Holdings Inc|S|OTC|5987486|6223559||22|999.99||-3.79|-236073|2021-04-15
20210415|AACAY|AAC Technologies Holdings Inc|S|OTC|34772|53016||163164|1.00||-34.41|-18244|2021-04-15
20210415|AACG|ATA Creativity Global American|R|NNM|98600|171815||189123|1.00||-42.61|-73215|2021-04-15
20210415|AACMZ|Asia Cement Corp Global Deposi|S|OTC|4965|4965||0|999.99||0.00|0|2021-04-15
20210415|AACQ|Artius Acquisition Inc. Class|R|SC|945097|936387||686218|1.38||0.93|8710|2021-04-15
20210415|AACQW|Artius Acquisition Inc Warrant|R|SC|117843|121780||124666|1.00||-3.23|-3937|2021-04-15
20210415|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|760|1041||316186|1.00||-26.99|-281|2021-04-15
20210415|AACU|Ares Acquisition Corporation U|A|NYSE|8745|43800||95226|1.00||-80.03|-35055|2021-04-15
20210415|AACWS|Ares Acquisition Corporation R|A|NYSE|33129|37232||73642|1.00||-11.02|-4103|2021-04-15
20210415|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|10875|1228||5780|1.88||785.59|9647|2021-04-15
20210415|AAEEF|Altair Res Inc Common Shares|S|OTC|200|0||290|1.00||100.00|200|2021-04-15
20210415|AAGC|All American Gold Corp. Common|S|OTC|46217|25600||187112245|1.00||80.54|20617|2021-04-15
20210415|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|61521|44878||479692|1.00||37.08|16643|2021-04-15
20210415|AAGH|America Great Health Common St|S|OTC|195|195||138224|1.00||0.00|0|2021-04-15
20210415|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|439990|424398||380520|1.16||3.67|15592|2021-04-15
