accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20231215|A|Agilent Technologies Inc.|A|NYSE|5229349|5858996||2096983|2.49||-10.75|-629647|2023-12-15
20231215|AA|Alcoa Corporation|A|NYSE|12789339|11153707||7995367|1.60||14.66|1635632|2023-12-15
20231215|AAA|AXS First Priority CLO Bond ET|E|ARCA|24833|28368||5346|4.65||-12.46|-3535|2023-12-15
20231215|AAAU|Goldman Sachs Physical Gold ET|H|BZX|93820|114571||1823216|1.00||-18.11|-20751|2023-12-15
20231215|AABB|Asia Broadband Inc Common Stoc|S|OTC|74263|55248||9725995|1.00||34.42|19015|2023-12-15
20231215|AACAF|AAC Technologies Holdings Inc|S|OTC|607015|866152||130|999.99||-29.92|-259137|2023-12-15
20231215|AACG|ATA Creativity Global American|R|NNM|1127|1732||9778|1.00||-34.93|-605|2023-12-15
20231215|AACI|Armada Acquisition Corp. I Com|R|NNM|532|531||14622|1.00||0.19|1|2023-12-15
20231215|AACIU|Armada Acquisition Corp. I Uni|R|NNM|245|241||0|999.99||1.66|4|2023-12-15
20231215|AACIW|Armada Acquisition Corp. I War|R|NNM|3955|442||14278|1.00||794.80|3513|2023-12-15
20231215|AACT|Ares Acquisition Corporation I|A|NYSE|1636|15777||86406|1.00||-89.63|-14141|2023-12-15
20231215|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|1226|6676||14482|1.00||-81.64|-5450|2023-12-15
20231215|AACTU|Ares Acquisition Corporation I|A|NYSE|26|100||1638|1.00||-74.00|-74|2023-12-15
20231215|AACTWS|Ares Acquisition Corporation I|A|NYSE|1492|0||210700|1.00||100.00|1492|2023-12-15
20231215|AADI|Aadi Bioscience, Inc. Common S|R|SC|635894|789035||761100|1.00||-19.41|-153141|2023-12-15
20231215|AADR|AdvisorShares Dorsey Wright AD|R|NNM|27|0||1088|1.00||100.00|27|2023-12-15
20231215|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|27269|58737||407604|1.00||-53.57|-31468|2023-12-15
20231215|AAGH|America Great Health Common St|S|OTC|489|489||426799|1.00||0.00|0|2023-12-15
20231215|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|23408|19003||1673493|1.00||23.18|4405|2023-12-15
20231215|AAGR|African Agriculture Holdings I|R|NNM|55626|35546|S|749576|1.00||56.49|20080|2023-12-15
20231215|AAGRW|African Agriculture Holdings I|R|NNM|266|1367||27061|1.00||-80.54|-1101|2023-12-15
20231215|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|104|102||1|104.00||1.96|2|2023-12-15
20231215|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|6857|7557||0|999.99||-9.26|-700|2023-12-15
20231215|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|4061343|1964076||220917|18.38||106.78|2097267|2023-12-15
20231215|AAIN|Arlington Asset Investment Cor|A|NYSE|1000|334||7059|1.00||199.40|666|2023-12-15
20231215|AAIRF|AMERICAN AIRES INC COM NEW (Ca|S|OTC|1132|1352||809|1.40||-16.27|-220|2023-12-15
20231215|AAL|American Airlines Group Inc. C|R|NNM|62703995|67650965||40473298|1.55||-7.31|-4946970|2023-12-15
20231215|AALBF|Aalberts Industries NV Ordinar|S|OTC|36424|34002||557|65.39||7.12|2422|2023-12-15
20231215|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|53999|53999||273|197.80||0.00|0|2023-12-15
20231215|AAMC|Altisource Asset Mgmt Corp|B|AMEX|46450|32739||375654|1.00||41.88|13711|2023-12-15
20231215|AAME|Atlantic American Corporation|R|NNM|57447|16302||6064|9.47||252.39|41145|2023-12-15
20231215|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|8061|0||32937|1.00||100.00|8061|2023-12-15
20231215|AAN|The Aaron's Company, Inc.|A|NYSE|730989|717292||547469|1.34||1.91|13697|2023-12-15
20231215|AANNF|Aroundtown SA Ordinary Shares|S|OTC|3864143|3054859||372825|10.36||26.49|809284|2023-12-15
20231215|AAOI|Applied Optoelectronics, Inc.|R|NNM|9434031|8879170||3782898|2.49||6.25|554861|2023-12-15
20231215|AAON|AAON, Inc. Common Stock|R|NNM|2984312|3085979||505786|5.90||-3.29|-101667|2023-12-15
20231215|AAP|ADVANCE AUTO PARTS INC|A|NYSE|6438079|6088491||2541383|2.53||5.74|349588|2023-12-15
20231215|AAPB|GraniteShares ETF Trust Granit|R|NNM|10534|3444||12779|1.00||205.87|7090|2023-12-15
20231215|AAPD|Direxion Shares ETF Trust Dire|R|NNM|9437|95352||147993|1.00||-90.10|-85915|2023-12-15
20231215|AAPL|Apple Inc. Common Stock|R|NNM|120233720|110653413||60940693|1.97||8.66|9580307|2023-12-15
20231215|AAPU|Direxion Shares ETF Trust Dire|R|NNM|47928|16803||91753|1.00||185.23|31125|2023-12-15
20231215|AAPY|Kurv Yield Premium Strategy Ap|H|BZX|403|545||364|1.11||-26.06|-142|2023-12-15
20231215|AAQL|Antiaging Quantum Living Inc.|S|OTC|100|100||418|1.00||0.00|0|2023-12-15
20231215|AARTY|AIRTEL AFRICA PLC American Dep|S|OTC|30|0||39|1.00||100.00|30|2023-12-15
20231215|AASCF|ABERDEEN ASIAN SMALLER COMPANI|S|OTC|456282|0||0|999.99||100.00|456282|2023-12-15
20231215|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|15913|8813||209286|1.00||80.56|7100|2023-12-15
20231215|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|1562322|1510172||555190|2.81||3.45|52150|2023-12-15
20231215|AATC|Autoscope Technologies Corpora|S|OTC|277|1157||41780|1.00||-76.06|-880|2023-12-15
20231215|AATGF|ATI Airtest Technologies Inc O|S|OTC|1650|7650||2909|1.00||-78.43|-6000|2023-12-15
20231215|AATRL|AMG Capital  Trust II 5.15% Co|S|OTC|80|80||4432|1.00||0.00|0|2023-12-15
20231215|AAU|Almaden Minerals Ltd.|B|AMEX|104719|75236||197303|1.00||39.19|29483|2023-12-15
20231215|AAUCF|ALLIED GOLD CORP COM (Canada)|S|OTC|31400|1898||1009|31.12||1554.37|29502|2023-12-15
20231215|AAUKF|Anglo American plc Ordinary Sh|S|OTC|375907|397936||4218|89.12||-5.54|-22029|2023-12-15
20231215|AAVMY|Abn Amro BK N V Amsterdam Brh|S|OTC|27050|3551||31735|1.00||661.76|23499|2023-12-15
20231215|AAVVF|Advantage Energy Ltd. Ordinary|S|OTC|2664924|2365377||68051|39.16||12.66|299547|2023-12-15
20231215|AAVXF|Abivax SA Ordinary Shares (Fra|S|OTC|100|1433||38|2.63||-93.02|-1333|2023-12-15
20231215|AAWH|ASCEND WELLNESS HOLDINGS INC C|S|OTC|45856|48604||211613|1.00||-5.65|-2748|2023-12-15
