accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20221115|A|Agilent Technologies Inc.|A|NYSE|2889384|2893740||1272629|2.27||-0.15|-4356|2022-11-15
20221115|AA|Alcoa Corporation|A|NYSE|10557332|8646262||7185550|1.47||22.10|1911070|2022-11-15
20221115|AAA|AXS First Priority CLO Bond ET|E|ARCA|11520|4380||1533|7.51||163.01|7140|2022-11-15
20221115|AAALF|Aareal Bank AG AKT|S|OTC|2002|1447||0|999.99||38.36|555|2022-11-15
20221115|AAAU|Goldman Sachs Physical Gold ET|H|BZX|824540|224647||1824214|1.00||267.04|599893|2022-11-15
20221115|AABB|Asia Broadband Inc Common Stoc|S|OTC|3822586|3754177||13854052|1.00||1.82|68409|2022-11-15
20221115|AABVF|Aberdeen International Inc Ord|S|OTC|301|301||10045|1.00||0.00|0|2022-11-15
20221115|AAC|Ares Acquisition Corporation|A|NYSE|782770|773144||44217|17.70||1.25|9626|2022-11-15
20221115|AACAF|AAC Technologies Holdings Inc|S|OTC|5189573|3947665||0|999.99||31.46|1241908|2022-11-15
20221115|AACAY|AAC Technologies Holdings Inc|S|OTC|129524|74611||237899|1.00||73.60|54913|2022-11-15
20221115|AACG|ATA Creativity Global American|R|NNM|27276|43519||11851|2.30||-37.32|-16243|2022-11-15
20221115|AACI|Armada Acquisition Corp. I Com|R|NNM|6909|5986||1486|4.65||15.42|923|2022-11-15
20221115|AACIU|Armada Acquisition Corp. I Uni|R|NNM|1277|1277||0|999.99||0.00|0|2022-11-15
20221115|AACIW|Armada Acquisition Corp. I War|R|NNM|40978|38879||6079|6.74||5.40|2099|2022-11-15
20221115|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|83271|94971||34663|2.40||-12.32|-11700|2022-11-15
20221115|AACU|Ares Acquisition Corporation U|A|NYSE|18825|18825||8108|2.32||0.00|0|2022-11-15
20221115|AACWS|Ares Acquisition Corporation R|A|NYSE|3912|3065||43613|1.00||27.63|847|2022-11-15
20221115|AADI|Aadi Bioscience, Inc. Common S|R|SC|1061468|937861||100445|10.57||13.18|123607|2022-11-15
20221115|AADR|AdvisorShares Dorsey Wright AD|R|NNM|25766|23863||2745|9.39||7.97|1903|2022-11-15
20221115|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|21234|1855||22343|1.00||1044.69|19379|2022-11-15
20221115|AAGEF|AAG ENERGY HLDGS LTD Ordinary|S|OTC|147000|147000||0|999.99||0.00|0|2022-11-15
20221115|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|178063|26212||491481|1.00||579.32|151851|2022-11-15
20221115|AAGH|America Great Health Common St|S|OTC|29735|8835||227275|1.00||236.56|20900|2022-11-15
20221115|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|18290|9558||3040742|1.00||91.36|8732|2022-11-15
20221115|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|2051|1671||87|23.57||22.74|380|2022-11-15
20221115|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|4000|5069||0|999.99||-21.09|-1069|2022-11-15
20221115|AAIC|Arlington Asset Investment Cor|A|NYSE|78810|206606||93938|1.00||-61.85|-127796|2022-11-15
20221115|AAICPRB|Arlington Asset Investment Cor|A|NYSE|16|147||1569|1.00||-89.12|-131|2022-11-15
20221115|AAICPRC|Arlington Asset Investment Cor|A|NYSE|1395|700||601|2.32||99.29|695|2022-11-15
20221115|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|9281843|2639403||141334|65.67||251.66|6642440|2022-11-15
20221115|AAIN|Arlington Asset Investment Cor|A|NYSE|1|308||260|1.00||-99.68|-307|2022-11-15
20221115|AAIRF|American Aires Inc. Common Sha|S|OTC|29211|29961||16663|1.75||-2.50|-750|2022-11-15
20221115|AAL|American Airlines Group Inc. C|R|NNM|91398791|86494438||27137045|3.37||5.67|4904353|2022-11-15
20221115|AALBF|Aalberts Industries NV Ordinar|S|OTC|3038|1444||136|22.34||110.39|1594|2022-11-15
20221115|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|53999|53999||0|999.99||0.00|0|2022-11-15
20221115|AAMC|Altisource Asset Mgmt Corp|B|AMEX|3280|957||5069|1.00||242.74|2323|2022-11-15
20221115|AAME|Atlantic American Corporation|R|NNM|58969|59242||2548|23.14||-0.46|-273|2022-11-15
20221115|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|2975|0||29843|1.00||100.00|2975|2022-11-15
20221115|AAMPRA|Apollo Asset Management, Inc.|A|NYSE|10975|10082||16590|1.00||8.86|893|2022-11-15
20221115|AAMPRB|Apollo Asset Management, Inc.|A|NYSE|4771|15649||11920|1.00||-69.51|-10878|2022-11-15
20221115|AAN|The Aaron's Company, Inc.|A|NYSE|1727681|1662342||434736|3.97||3.93|65339|2022-11-15
20221115|AANNF|Aroundtown SA Ordinary Shares|S|OTC|8017433|11155445||5884|999.99||-28.13|-3138012|2022-11-15
20221115|AAOI|Applied Optoelectronics, Inc.|R|NNM|3316677|3463131||234634|14.14||-4.23|-146454|2022-11-15
20221115|AAON|AAON, Inc. Common Stock|R|NNM|666129|893577||237833|2.80||-25.45|-227448|2022-11-15
20221115|AAP|ADVANCE AUTO PARTS INC|A|NYSE|3082173|3096041||887468|3.47||-0.45|-13868|2022-11-15
20221115|AAPB|GraniteShares ETF Trust Granit|R|NNM|1400|4251||4583|1.00||-67.07|-2851|2022-11-15
20221115|AAPD|Direxion Shares ETF Trust Dire|R|NNM|31008|91624||195420|1.00||-66.16|-60616|2022-11-15
