accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20240315|A|Agilent Technologies Inc.|A|NYSE|3580343|2736136||2082461|1.72||30.85|844207|2024-03-15
20240315|AA|Alcoa Corporation|A|NYSE|13178700|11837869||6371858|2.07||11.33|1340831|2024-03-15
20240315|AAA|AXS First Priority CLO Bond ET|E|ARCA|17153|9417||12518|1.37||82.15|7736|2024-03-15
20240315|AAAU|Goldman Sachs Physical Gold ET|H|BZX|57213|105876||2446908|1.00||-45.96|-48663|2024-03-15
20240315|AABB|Asia Broadband Inc Common Stoc|S|OTC|1863|328120||16141980|1.00||-99.43|-326257|2024-03-15
20240315|AABVF|Aberdeen International Inc Ord|S|OTC|5001|1||6745|1.00||500000.00|5000|2024-03-15
20240315|AACAF|AAC Technologies Holdings Inc|S|OTC|632515|552515||284|999.99||14.48|80000|2024-03-15
20240315|AACAY|AAC Technologies Holdings Inc|S|OTC|23016|1645||17826|1.29||1299.15|21371|2024-03-15
20240315|AACG|ATA Creativity Global American|R|NNM|31181|6045||43109|1.00||415.81|25136|2024-03-15
20240315|AACI|Armada Acquisition Corp. I Com|R|NNM|467|469||811|1.00||-0.43|-2|2024-03-15
20240315|AACIW|Armada Acquisition Corp. I War|R|NNM|688|688||9808|1.00||0.00|0|2024-03-15
20240315|AACT|Ares Acquisition Corporation I|A|NYSE|25058|2899||140379|1.00||764.37|22159|2024-03-15
20240315|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|67|15386||92370|1.00||-99.56|-15319|2024-03-15
20240315|AACTU|Ares Acquisition Corporation I|A|NYSE|6|6||15|1.00||0.00|0|2024-03-15
20240315|AACTWS|Ares Acquisition Corporation I|A|NYSE|7366|6980||35417|1.00||5.53|386|2024-03-15
20240315|AADI|Aadi Bioscience, Inc. Common S|R|SC|1128596|949341||990594|1.14||18.88|179255|2024-03-15
20240315|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|4435|2405||79981|1.00||84.41|2030|2024-03-15
20240315|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|41837|9343||665902|1.00||347.79|32494|2024-03-15
20240315|AAGH|America Great Health Common St|S|OTC|4|4||1514755|1.00||0.00|0|2024-03-15
20240315|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|206311|240153||683052|1.00||-14.09|-33842|2024-03-15
20240315|AAGR|African Agriculture Holdings I|R|NNM|815716|139005||879249|1.00||486.82|676711|2024-03-15
20240315|AAGRW|African Agriculture Holdings I|R|NNM|236|1362||14357|1.00||-82.67|-1126|2024-03-15
20240315|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|97|97||4|24.25||0.00|0|2024-03-15
20240315|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|2463|2957||0|999.99||-16.71|-494|2024-03-15
20240315|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|5650071|6354863||57033|99.07||-11.09|-704792|2024-03-15
20240315|AAIRF|AMERICAN AIRES INC COM NEW (Ca|S|OTC|11428|13193||34248|1.00||-13.38|-1765|2024-03-15
20240315|AAL|American Airlines Group Inc. C|R|NNM|45562853|37805747||32502265|1.40||20.52|7757106|2024-03-15
20240315|AALBF|Aalberts Industries NV Ordinar|S|OTC|297256|260677||731|406.64||14.03|36579|2024-03-15
20240315|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|53999|53999||0|999.99||0.00|0|2024-03-15
20240315|AAMC|Altisource Asset Mgmt Corp|B|AMEX|14818|16463||4705|3.15||-9.99|-1645|2024-03-15
20240315|AAME|Atlantic American Corporation|R|NNM|16693|14897||5620|2.97||12.06|1796|2024-03-15
20240315|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|876|19||24772|1.00||4510.53|857|2024-03-15
20240315|AAN|The Aaron's Company, Inc.|A|NYSE|532998|689091||353451|1.51||-22.65|-156093|2024-03-15
20240315|AANNF|Aroundtown SA Ordinary Shares|S|OTC|11286457|11388821||18182|620.75||-0.90|-102364|2024-03-15
20240315|AAOI|Applied Optoelectronics, Inc.|R|NNM|8856656|9149720||2251042|3.93||-3.20|-293064|2024-03-15
20240315|AAON|AAON, Inc. Common Stock|R|NNM|2640775|2576547||552031|4.78||2.49|64228|2024-03-15
