accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20190531|A|Agilent Technologies Inc.|A|NYSE|4945756|4636334||3922030|1.26||6.67|309422|2019-05-31
20190531|AA|Alcoa Corporation|A|NYSE|7029177|6937981||2988087|2.35||1.31|91196|2019-05-31
20190531|AAALF|Aareal Bank AG AKT|S|OTC|98843|111914||0|999.99||-11.68|-13071|2019-05-31
20190531|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|37023|12331||32981|1.12||200.24|24692|2019-05-31
20190531|AABA|Altaba Inc. Common Stock|R|NNM|29035720|27910132||8126265|3.57||4.03|1125588|2019-05-31
20190531|AABB|Asia Broadband Inc Common Stoc|S|OTC|378|1000||291902|1.00||-62.20|-622|2019-05-31
20190531|AABVF|Aberdeen International Inc Ord|S|OTC|10430|10800||292|35.72||-3.43|-370|2019-05-31
20190531|AAC|AAC Holdings, Inc.|A|NYSE|4915922|3911037||654459|7.51||25.69|1004885|2019-05-31
20190531|AACAF|AAC Technologies Holdings Inc|S|OTC|11036401|11016215||2014|999.99||0.18|20186|2019-05-31
20190531|AACAY|AAC Technologies Holdings Inc|S|OTC|4813|33030||131037|1.00||-85.43|-28217|2019-05-31
20190531|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2019-05-31
20190531|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|500|0||842|1.00||100.00|500|2019-05-31
20190531|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|735|3851||8558|1.00||-80.91|-3116|2019-05-31
20190531|AAGEF|AAG Energy Holdings Ltd Ordina|S|OTC|81000|81000||0|999.99||0.00|0|2019-05-31
20190531|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|92898|251959||293205|1.00||-63.13|-159061|2019-05-31
20190531|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|24600|15400||0|999.99||59.74|9200|2019-05-31
20190531|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|1552923|1841511||42961|36.15||-15.67|-288588|2019-05-31
20190531|AAL|American Airlines Group Inc. C|R|NNM|22769050|20867364||6910308|3.29||9.11|1901686|2019-05-31
20190531|AALBF|Aalberts Industries NV Ordinar|S|OTC|87085|63199||0|999.99||37.79|23886|2019-05-31
20190531|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|1713|12633||4002|1.00||-86.44|-10920|2019-05-31
20190531|AAMC|Altisource Asset Mgmt Corp|B|AMEX|26400|26307||18181|1.45||0.35|93|2019-05-31
20190531|AAME|Atlantic American Corporation|R|NNM|171|2544||1797|1.00||-93.28|-2373|2019-05-31
20190531|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|5869|7743||35508|1.00||-24.20|-1874|2019-05-31
20190531|AAMTF|Armada Mercantile Ltd Ordinary|S|OTC|500|500||1364|1.00||0.00|0|2019-05-31
20190531|AAN|Aaron's, Inc.|A|NYSE|2826527|2933317||524813|5.39||-3.64|-106790|2019-05-31
20190531|AANNF|Aroundtown SA Ordinary Shares|S|OTC|2808476|3110036||0|999.99||-9.70|-301560|2019-05-31
20190531|AAOI|Applied Optoelectronics, Inc.|R|NNM|8324225|7951470||573286|14.52||4.69|372755|2019-05-31
