accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20200930|A|Agilent Technologies Inc.|A|NYSE|2620892|3977190||1085646|2.41||-34.10|-1356298|2020-09-30
20200930|AA|Alcoa Corporation|A|NYSE|12587689|12782965||5328743|2.36||-1.53|-195276|2020-09-30
20200930|AAA|AAF First Priority CLO Bond ET|E|ARCA|6966|4278||17482|1.00||62.83|2688|2020-09-30
20200930|AAALF|Aareal Bank AG AKT|S|OTC|19090|23609||150|127.27||-19.14|-4519|2020-09-30
20200930|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|48914|57367||650068|1.00||-14.73|-8453|2020-09-30
20200930|AABB|Asia Broadband Inc Common Stoc|S|OTC|5614|191||34399000|1.00||2839.27|5423|2020-09-30
20200930|AACAF|AAC Technologies Holdings Inc|S|OTC|18169682|18396539||101|999.99||-1.23|-226857|2020-09-30
20200930|AACAY|AAC Technologies Holdings Inc|S|OTC|568|2237||111683|1.00||-74.61|-1669|2020-09-30
20200930|AACG|ATA Creativity Global American|R|NNM|8970|4357||37959|1.00||105.88|4613|2020-09-30
20200930|AACH|AAC HLDGS INC Common Stock|S|OTC|76553|73002||141469|1.00||4.86|3551|2020-09-30
20200930|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2020-09-30
20200930|AACQ|Artius Acquisition Inc. Class|R|SC|15707|3955||183820|1.00||297.14|11752|2020-09-30
20200930|AACQU|Artius Acquisition Inc. Unit|R|SC|35472|15861||39965|1.00||123.64|19611|2020-09-30
20200930|AACQW|Artius Acquisition Inc Warrant|R|SC|27452|56152||246151|1.00||-51.11|-28700|2020-09-30
20200930|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|39228|15863||58157|1.00||147.29|23365|2020-09-30
20200930|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|3657|8721||3624|1.01||-58.07|-5064|2020-09-30
20200930|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|106900|106900||0|999.99||0.00|0|2020-09-30
20200930|AAGC|All American Gold Corp. Common|S|OTC|55974|0||261581317|1.00||100.00|55974|2020-09-30
20200930|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|69740|147593||953455|1.00||-52.75|-77853|2020-09-30
20200930|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|583689|306082||260191|2.24||90.70|277607|2020-09-30
