accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20240215|A|Agilent Technologies Inc.|A|NYSE|3207167|2902347||1388417|2.31||10.50|304820|2024-02-15
20240215|AA|Alcoa Corporation|A|NYSE|11224139|11743118||5595107|2.01||-4.42|-518979|2024-02-15
20240215|AAA|AXS First Priority CLO Bond ET|E|ARCA|8909|25108||8859|1.01||-64.52|-16199|2024-02-15
20240215|AAAU|Goldman Sachs Physical Gold ET|H|BZX|84681|193115||2216677|1.00||-56.15|-108434|2024-02-15
20240215|AABB|Asia Broadband Inc Common Stoc|S|OTC|253151|11396||18635964|1.00||2121.40|241755|2024-02-15
20240215|AABVF|Aberdeen International Inc Ord|S|OTC|1|1||16361|1.00||0.00|0|2024-02-15
20240215|AACAF|AAC Technologies Holdings Inc|S|OTC|610755|726018||56|999.99||-15.88|-115263|2024-02-15
20240215|AACAY|AAC Technologies Holdings Inc|S|OTC|4743|98||12697|1.00||4739.80|4645|2024-02-15
20240215|AACG|ATA Creativity Global American|R|NNM|17925|15367||27619|1.00||16.65|2558|2024-02-15
20240215|AACI|Armada Acquisition Corp. I Com|R|NNM|482|1416||16018|1.00||-65.96|-934|2024-02-15
20240215|AACIW|Armada Acquisition Corp. I War|R|NNM|688|809||590|1.17||-14.96|-121|2024-02-15
20240215|AACT|Ares Acquisition Corporation I|A|NYSE|4170|11912||304590|1.00||-64.99|-7742|2024-02-15
20240215|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|67|2752||42675|1.00||-97.57|-2685|2024-02-15
20240215|AACTU|Ares Acquisition Corporation I|A|NYSE|6|6||121|1.00||0.00|0|2024-02-15
20240215|AACTWS|Ares Acquisition Corporation I|A|NYSE|6336|4978||57012|1.00||27.28|1358|2024-02-15
20240215|AADI|Aadi Bioscience, Inc. Common S|R|SC|990311|1139270||209623|4.72||-13.07|-148959|2024-02-15
20240215|AADR|AdvisorShares Dorsey Wright AD|R|NNM|41|2||792|1.00||1950.00|39|2024-02-15
20240215|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|2225|7885||23537|1.00||-71.78|-5660|2024-02-15
20240215|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|3622|4122||207526|1.00||-12.13|-500|2024-02-15
20240215|AAGH|America Great Health Common St|S|OTC|4|4||153269|1.00||0.00|0|2024-02-15
20240215|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|55465|270423||1164256|1.00||-79.49|-214958|2024-02-15
20240215|AAGR|African Agriculture Holdings I|R|NNM|117193|81689||84149|1.39||43.46|35504|2024-02-15
20240215|AAGRW|African Agriculture Holdings I|R|NNM|124|52||30395|1.00||138.46|72|2024-02-15
20240215|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|97|107||2|48.50||-9.35|-10|2024-02-15
20240215|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|2657|3957||0|999.99||-32.85|-1300|2024-02-15
20240215|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|7683382|6862125||216725|35.45||11.97|821257|2024-02-15
20240215|AAIRF|AMERICAN AIRES INC COM NEW (Ca|S|OTC|6610|0||8082|1.00||100.00|6610|2024-02-15
20240215|AAL|American Airlines Group Inc. C|R|NNM|41435483|40802414||29973858|1.38||1.55|633069|2024-02-15
20240215|AALBF|Aalberts Industries NV Ordinar|S|OTC|149284|97174||270|552.90||53.63|52110|2024-02-15
20240215|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|53999|53999||0|999.99||0.00|0|2024-02-15
20240215|AAMC|Altisource Asset Mgmt Corp|B|AMEX|32108|38714||6849|4.69||-17.06|-6606|2024-02-15
20240215|AAME|Atlantic American Corporation|R|NNM|49853|11646||5541|9.00||328.07|38207|2024-02-15
20240215|AAMTF|Armada Mercantile Ltd Ordinary|S|OTC|2396|8871||9114|1.00||-72.99|-6475|2024-02-15
