accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20191031|A|Agilent Technologies Inc.|A|NYSE|4985588|4774064||1469707|3.39||4.43|211524|2019-10-31
20191031|AA|Alcoa Corporation|A|NYSE|7156576|9956120||5103631|1.40||-28.12|-2799544|2019-10-31
20191031|AAALF|Aareal Bank AG AKT|S|OTC|130817|110641||0|999.99||18.24|20176|2019-10-31
20191031|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|9839|4996||109026|1.00||96.94|4843|2019-10-31
20191031|AABB|Asia Broadband Inc Common Stoc|S|OTC|10000|1899||2793467|1.00||426.59|8101|2019-10-31
20191031|AACAF|AAC Technologies Holdings Inc|S|OTC|14827565|15060597||5806|999.99||-1.55|-233032|2019-10-31
20191031|AACAY|AAC Technologies Holdings Inc|S|OTC|31126|41188||103568|1.00||-24.43|-10062|2019-10-31
20191031|AACG|ATA Creativity Global American|R|NNM|29815|28460||12891|2.31||4.76|1355|2019-10-31
20191031|AACH|AAC HLDGS INC Common Stock|S|OTC|3455800|3174133||723418|4.78||8.87|281667|2019-10-31
20191031|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2019-10-31
20191031|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|8687|14805||3686|2.36||-41.32|-6118|2019-10-31
20191031|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|1160|709||8540|1.00||63.61|451|2019-10-31
20191031|AAGH|America Great Health Common St|S|OTC|160|160||29442|1.00||0.00|0|2019-10-31
20191031|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|520633|516224||471534|1.10||0.85|4409|2019-10-31
20191031|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|16200|18000||0|999.99||-10.00|-1800|2019-10-31
20191031|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|716516|980725||18022|39.76||-26.94|-264209|2019-10-31
20191031|AAL|American Airlines Group Inc. C|R|NNM|35648881|26497244||9164006|3.89||34.54|9151637|2019-10-31
20191031|AALBF|Aalberts Industries NV Ordinar|S|OTC|52522|51249||0|999.99||2.48|1273|2019-10-31
20191031|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|7418|10100||5353|1.39||-26.55|-2682|2019-10-31
20191031|AAMC|Altisource Asset Mgmt Corp|B|AMEX|23302|23006||8732|2.67||1.29|296|2019-10-31
20191031|AAME|Atlantic American Corporation|R|NNM|1032|752||3051|1.00||37.23|280|2019-10-31
20191031|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|26474|11||168543|1.00||240572.73|26463|2019-10-31
20191031|AAN|Aaron's, Inc.|A|NYSE|2838285|2955673||857602|3.31||-3.97|-117388|2019-10-31
20191031|AANNF|Aroundtown SA Ordinary Shares|S|OTC|1616365|1303092||3724|434.04||24.04|313273|2019-10-31
20191031|AAOI|Applied Optoelectronics, Inc.|R|NNM|7354700|7956299||500063|14.71||-7.56|-601599|2019-10-31
20191031|AAON|AAON, Inc. Common Stock|R|NNM|4985285|4616112||145884|34.17||8.00|369173|2019-10-31
20191031|AAP|ADVANCE AUTO PARTS INC|A|NYSE|3143077|3742387||773104|4.07||-16.01|-599310|2019-10-31
20191031|AAPL|Apple Inc. Common Stock|R|NNM|45151775|48022677||24014403|1.88||-5.98|-2870902|2019-10-31
20191031|AASP|All-American SportPark, Inc. C|S|OTC|25|25||217|1.00||0.00|0|2019-10-31
20191031|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|15975|17244||1939|8.24||-7.36|-1269|2019-10-31
20191031|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|850337|844382||298840|2.85||0.71|5955|2019-10-31
20191031|AATAF|Arata Corp Tokyo (Japan)|S|OTC|3380|6080||0|999.99||-44.41|-2700|2019-10-31
20191031|AATDF|AA LTD Ordinary Shares (United|S|OTC|294247|294247||1283|229.34||0.00|0|2019-10-31
20191031|AATRL|AMG Capital  Trust II 5.15% Co|S|OTC|12124|11017||12409|1.00||10.05|1107|2019-10-31
20191031|AAU|Almaden Minerals Ltd.|B|AMEX|1525873|1324281||343440|4.44||15.22|201592|2019-10-31
