accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20221031|A|Agilent Technologies Inc.|A|NYSE|2893740|2474824||1182545|2.45||16.93|418916|2022-10-31
20221031|AA|Alcoa Corporation|A|NYSE|8646262|8137563||9876218|1.00||6.25|508699|2022-10-31
20221031|AAA|AXS First Priority CLO Bond ET|E|ARCA|4380|8614||100|43.80||-49.15|-4234|2022-10-31
20221031|AAALF|Aareal Bank AG AKT|S|OTC|1447|9593||0|999.99||-84.92|-8146|2022-10-31
20221031|AAAU|Goldman Sachs Physical Gold ET|H|BZX|224647|580645||557424|1.00||-61.31|-355998|2022-10-31
20221031|AABB|Asia Broadband Inc Common Stoc|S|OTC|3754177|3849988||8355523|1.00||-2.49|-95811|2022-10-31
20221031|AABVF|Aberdeen International Inc Ord|S|OTC|301|301||1923|1.00||0.00|0|2022-10-31
20221031|AAC|Ares Acquisition Corporation|A|NYSE|773144|801605||36333|21.28||-3.55|-28461|2022-10-31
20221031|AACAF|AAC Technologies Holdings Inc|S|OTC|3947665|3925964||20|999.99||0.55|21701|2022-10-31
20221031|AACAY|AAC Technologies Holdings Inc|S|OTC|74611|103688||630212|1.00||-28.04|-29077|2022-10-31
20221031|AACG|ATA Creativity Global American|R|NNM|43519|48700||8604|5.06||-10.64|-5181|2022-10-31
20221031|AACI|Armada Acquisition Corp. I Com|R|NNM|5986|2985||1827|3.28||100.54|3001|2022-10-31
20221031|AACIU|Armada Acquisition Corp. I Uni|R|NNM|1277|1284||46|27.76||-0.55|-7|2022-10-31
20221031|AACIW|Armada Acquisition Corp. I War|R|NNM|38879|39849||4689|8.29||-2.43|-970|2022-10-31
20221031|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|94971|73471||28349|3.35||29.26|21500|2022-10-31
20221031|AACU|Ares Acquisition Corporation U|A|NYSE|18825|18825||8040|2.34||0.00|0|2022-10-31
20221031|AACWS|Ares Acquisition Corporation R|A|NYSE|3065|3164||7722|1.00||-3.13|-99|2022-10-31
20221031|AADI|Aadi Bioscience, Inc. Common S|R|SC|937861|735112||96910|9.68||27.58|202749|2022-10-31
20221031|AADR|AdvisorShares Dorsey Wright AD|R|NNM|23863|5160||2112|11.30||362.46|18703|2022-10-31
