accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20210315|A|Agilent Technologies Inc.|A|NYSE|2908967|2380017||1784590|1.63||22.22|528950|2021-03-15
20210315|AA|Alcoa Corporation|A|NYSE|10978374|10177183||7387584|1.49||7.87|801191|2021-03-15
20210315|AAA|AAF First Priority CLO Bond ET|E|ARCA|1897|3658||3116|1.00||-48.14|-1761|2021-03-15
20210315|AAALF|Aareal Bank AG AKT|S|OTC|235908|232982||0|999.99||1.26|2926|2021-03-15
20210315|AAALY|Aareal Bank AG Unsponsored Ame|S|OTC|1|1||34|1.00||0.00|0|2021-03-15
20210315|AAAU|Goldman Sachs Physical Gold ET|E|ARCA|80643|187270||615365|1.00||-56.94|-106627|2021-03-15
20210315|AABB|Asia Broadband Inc Common Stoc|S|OTC|68734|139201||139833511|1.00||-50.62|-70467|2021-03-15
20210315|AABVF|Aberdeen International Inc Ord|S|OTC|10297|27056||89002|1.00||-61.94|-16759|2021-03-15
20210315|AACAF|AAC Technologies Holdings Inc|S|OTC|9032049|20426308||63|999.99||-55.78|-11394259|2021-03-15
20210315|AACAY|AAC Technologies Holdings Inc|S|OTC|29213|14411||85477|1.00||102.71|14802|2021-03-15
20210315|AACG|ATA Creativity Global American|R|NNM|148394|163290||320367|1.00||-9.12|-14896|2021-03-15
20210315|AACMZ|Asia Cement Corp Global Deposi|S|OTC|4965|4965||0|999.99||0.00|0|2021-03-15
20210315|AACQ|Artius Acquisition Inc. Class|R|SC|458647|623641||2937289|1.00||-26.46|-164994|2021-03-15
20210315|AACQU|Artius Acquisition Inc. Unit|R|SC|3241|2188||72618|1.00||48.13|1053|2021-03-15
20210315|AACQW|Artius Acquisition Inc Warrant|R|SC|129329|154680||464527|1.00||-16.39|-25351|2021-03-15
20210315|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|14759|27926||1359637|1.00||-47.15|-13167|2021-03-15
20210315|AACU|Ares Acquisition Corporation U|A|NYSE|1722962|1756814||801875|2.15||-1.93|-33852|2021-03-15
