accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20181130|A|Agilent Technologies Inc.|A|NYSE|4348710|4343674||3198099|1.36||0.12|5036|2018-11-30
20181130|AA|Alcoa Corporation|A|NYSE|5397045|6065399||3808647|1.42||-11.02|-668354|2018-11-30
20181130|AAALF|Aareal Bank AG AKT|S|OTC|98223|94344||0|999.99||4.11|3879|2018-11-30
20181130|AAALY|Aareal Bank AG Unsponsored Ame|S|OTC|10|10||0|999.99||0.00|0|2018-11-30
20181130|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|12451|9976||50351|1.00||24.81|2475|2018-11-30
20181130|AABA|Altaba Inc. Common Stock|R|NNM|28117996|20745313||6591503|4.27||35.54|7372683|2018-11-30
20181130|AABVF|Aberdeen International Inc Ord|S|OTC|2297|2297||5000|1.00||0.00|0|2018-11-30
20181130|AAC|AAC Holdings, Inc.|A|NYSE|1721434|1637360||512703|3.36||5.13|84074|2018-11-30
20181130|AACAF|AAC Technologies Holdings Inc|S|OTC|6916277|7460296||3551|999.99||-7.29|-544019|2018-11-30
20181130|AACAY|AAC Technologies Holdings Inc|S|OTC|2412|19027||157954|1.00||-87.32|-16615|2018-11-30
20181130|AACEY|Asia Cement (China) Holdings C|S|OTC|301|335||80|3.76||-10.15|-34|2018-11-30
20181130|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2018-11-30
20181130|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|4500|0||10983|1.00||100.00|4500|2018-11-30
20181130|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|1151|1503||24454|1.00||-23.42|-352|2018-11-30
20181130|AAGC|All American Gold Corp. Common|S|OTC|47146|47046||20063329|1.00||0.21|100|2018-11-30
20181130|AAGH|America Great Health Common St|S|OTC|100|0||3021|1.00||100.00|100|2018-11-30
20181130|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|31829|38467||459131|1.00||-17.26|-6638|2018-11-30
20181130|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|300|300||0|999.99||0.00|0|2018-11-30
20181130|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|10699|10800||0|999.99||-0.94|-101|2018-11-30
20181130|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|18375586|17341977||45180|406.72||5.96|1033609|2018-11-30
20181130|AAL|American Airlines Group Inc. C|R|NNM|23444799|26805787||8113503|2.89||-12.54|-3360988|2018-11-30
20181130|AALBF|Aalberts Industries NV Ordinar|S|OTC|13141|17945||0|999.99||-26.77|-4804|2018-11-30
20181130|AAMC|Altisource Asset Mgmt Corp|B|AMEX|35263|34268||3271|10.78||2.90|995|2018-11-30
20181130|AAME|Atlantic American Corporation|R|NNM|811|1464||5775|1.00||-44.60|-653|2018-11-30
20181130|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|11281|7781||43705|1.00||44.98|3500|2018-11-30
20181130|AAMTF|Armada Mercantile Ltd Ordinary|S|OTC|950|950||0|999.99||0.00|0|2018-11-30
20181130|AAN|Aaron's, Inc.|A|NYSE|3419868|2718580||548068|6.24||25.80|701288|2018-11-30
20181130|AANNF|Aroundtown SA Ordinary Shares|S|OTC|2714338|2731723||0|999.99||-0.64|-17385|2018-11-30
20181130|AAOI|Applied Optoelectronics, Inc.|R|NNM|6990492|7286259||512205|13.65||-4.06|-295767|2018-11-30
20181130|AAON|AAON, Inc. Common Stock|R|NNM|4742486|4883132||243053|19.51||-2.88|-140646|2018-11-30
20181130|AAP|ADVANCE AUTO PARTS INC|A|NYSE|3119457|3254530||843870|3.70||-4.15|-135073|2018-11-30
20181130|AAPL|Apple Inc. Common Stock|R|NNM|44915125|41791371||41517026|1.08||7.47|3123754|2018-11-30
20181130|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|1250|250||3702|1.00||400.00|1000|2018-11-30
20181130|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|673436|481950||229111|2.94||39.73|191486|2018-11-30
20181130|AATAF|Arata Corp Tokyo (Japan)|S|OTC|26485|22444||0|999.99||18.00|4041|2018-11-30
20181130|AATDF|AA LTD Ordinary Shares (United|S|OTC|221033|228408||1900|116.33||-3.23|-7375|2018-11-30
20181130|AATRL|AMG Capital  Trust II 5.15% Co|S|OTC|11001|14831||11538|1.00||-25.82|-3830|2018-11-30
20181130|AAU|Almaden Minerals Ltd.|B|AMEX|1885286|1828265||147820|12.75||3.12|57021|2018-11-30
20181130|AAUKF|Anglo American plc Ordinary Sh|S|OTC|14814703|14475830||2719|999.99||2.34|338873|2018-11-30
20181130|AAVVF|Advantage Oil & Gas Ltd Ordina|S|OTC|1754841|2412616||77557|22.63||-27.26|-657775|2018-11-30
20181130|AAVXF|Abivax SA Ordinary Shares (Fra|S|OTC|3324|3474||474|7.01||-4.32|-150|2018-11-30
20181130|AAWW|Atlas Air Worldwide Holdings N|R|NNM|2388482|2433683||229093|10.43||-1.86|-45201|2018-11-30
20181130|AAXJ|iShares MSCI All Country Asia|R|NNM|3624230|1238351||1260201|2.88||192.67|2385879|2018-11-30
