accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20240731|A|Agilent Technologies Inc.|A|NYSE|3578575|2754868||1718107|2.08||29.90|823707|2024-07-31
20240731|AA|Alcoa Corporation|A|NYSE|16286344|10961394||6993716|2.33||48.58|5324950|2024-07-31
20240731|AAA|Alternative Access First Prior|E|ARCA|458237|28891||7431|61.67||1486.09|429346|2024-07-31
20240731|AAALY|Aareal Bank AG Unsponsored Ame|S|OTC|2|2||0|999.99||0.00|0|2024-07-31
20240731|AAAU|Goldman Sachs Physical Gold ET|H|BZX|317675|252753||2067792|1.00||25.69|64922|2024-07-31
20240731|AABB|Asia Broadband Inc Common Stoc|S|OTC|1550761|119058||34353215|1.00||1202.53|1431703|2024-07-31
20240731|AABKF|AAREAL BANK AG NAMENS AKTIEN O|S|OTC|15|15||0|999.99||0.00|0|2024-07-31
20240731|AABVF|Aberdeen International Inc Ord|S|OTC|2376|37028||25433|1.00||-93.58|-34652|2024-07-31
20240731|AACAF|AAC Technologies Holdings Inc|S|OTC|2569170|2336670||0|999.99||9.95|232500|2024-07-31
20240731|AACAY|AAC Technologies Holdings Inc|S|OTC|3432|6437||7956|1.00||-46.68|-3005|2024-07-31
20240731|AACG|ATA Creativity Global American|R|NNM|9278|12315||57286|1.00||-24.66|-3037|2024-07-31
20240731|AACI|Armada Acquisition Corp. I Com|R|NNM|2817|10822||35017|1.00||-73.97|-8005|2024-07-31
20240731|AACIU|Armada Acquisition Corp. I Uni|R|NNM|415|49||67|6.19||746.94|366|2024-07-31
20240731|AACIW|Armada Acquisition Corp. I War|R|NNM|52202|65336||57488|1.00||-20.10|-13134|2024-07-31
20240731|AACT|Ares Acquisition Corporation I|A|NYSE|37497|28714||238922|1.00||30.59|8783|2024-07-31
20240731|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|1375|200||38422|1.00||587.50|1175|2024-07-31
20240731|AACTU|Ares Acquisition Corporation I|A|NYSE|1032|1032||1|999.99||0.00|0|2024-07-31
20240731|AACTWS|Ares Acquisition Corporation I|A|NYSE|15215|4963||71790|1.00||206.57|10252|2024-07-31
20240731|AADI|Aadi Bioscience, Inc. Common S|R|SC|188343|233237||99371|1.90||-19.25|-44894|2024-07-31
